poll_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sample_size,created_at,party,candidate_id,candidate_name,pct
57427,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-01-24,2019-01-26,600.0,1/29/19 21:18,REP,13254,Donald Trump,42.5
57427,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-01-24,2019-01-26,600.0,1/29/19 21:17,REP,13254,Donald Trump,40.3
57427,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-01-24,2019-01-26,600.0,1/29/19 21:17,REP,13254,Donald Trump,41.2
57427,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-01-24,2019-01-26,600.0,1/29/19 21:17,REP,13254,Donald Trump,42.4
57427,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-01-24,2019-01-26,600.0,1/29/19 21:17,DEM,13288,Kamala Harris,46.6
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,44.3
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,48.6
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,46.3
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,47.5
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,45.3
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,48.7
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,REP,13254,Donald Trump,47.2
57656,Emerson,2.9,-1.1,IVR/Online Opt-In Panel,,Michigan,2019-03-07,2019-03-10,743.0,3/10/19 15:06,DEM,13288,Kamala Harris,51.3
57753,Øptimus,,-0.2,Live Phone/Text-to-Web,,Michigan,2019-03-19,2019-03-21,530.0,3/26/19 10:57,REP,13254,Donald Trump,48.0
57753,Øptimus,,-0.2,Live Phone/Text-to-Web,,Michigan,2019-03-19,2019-03-21,530.0,3/26/19 10:56,REP,13254,Donald Trump,46.0
57753,Øptimus,,-0.2,Live Phone/Text-to-Web,,Michigan,2019-03-19,2019-03-21,530.0,3/26/19 10:56,REP,13254,Donald Trump,46.0
57931,Tulchin Research,0.9,0.3,Online Opt-In Panel,,Michigan,2019-04-14,2019-04-18,400.0,4/22/19 18:41,REP,13254,Donald Trump,41.0
58048,WPAi,1.7,-0.1,Live Phone,,Michigan,2019-04-27,2019-04-30,200.0,5/11/19 12:55,REP,13254,Donald Trump,42.0
58192,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-05-28,2019-05-30,600.0,6/4/19 23:06,REP,13254,Donald Trump,38.5
58192,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-05-28,2019-05-30,600.0,6/4/19 23:06,REP,13254,Donald Trump,41.4
58192,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-05-28,2019-05-30,600.0,6/4/19 23:06,REP,13254,Donald Trump,41.3
58192,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-05-28,2019-05-30,600.0,6/4/19 23:06,REP,13254,Donald Trump,41.3
58192,Glengariff Group Inc.,1.5,-0.2,Live Phone,,Michigan,2019-05-28,2019-05-30,600.0,6/4/19 23:07,REP,13254,Donald Trump,42.8
